Date,Open,High,Low,Close,Volume,Ticker,Fund_Name,Category,Style,SMA_20,SMA_50,SMA_200,Daily_Return,Volatility_20,Cumulative_Return
2023-04-26 00:00:00-04:00,108.39185333251953,108.39185333251953,108.39185333251953,108.39185333251953,0,FBGRX,Fidelity Blue Chip Growth (Blue Chip Focus),Large Growth,Active,110.03164176940918,107.2274331665039,,0.7854692689928111,1.064460674845572,17.539306454456494
2023-04-27 00:00:00-04:00,110.9012222290039,110.9012222290039,110.9012222290039,110.9012222290039,0,FBGRX,Fidelity Blue Chip Growth (Blue Chip Focus),Large Growth,Active,110.1513126373291,107.26188507080079,,2.3150899438782124,1.1056844158241887,20.260447118287807
2023-04-28 00:00:00-04:00,111.43126678466797,111.43126678466797,111.43126678466797,111.43126678466797,0,FBGRX,Fidelity Blue Chip Growth (Blue Chip Focus),Large Growth,Active,110.24820938110352,107.29484664916993,,0.47794293427132484,1.0935551338367322,20.83522342801276
2023-05-01 00:00:00-04:00,111.90331268310547,111.90331268310547,111.90331268310547,111.90331268310547,0,FBGRX,Fidelity Blue Chip Growth (Blue Chip Focus),Large Growth,Active,110.27595291137695,107.38031417846679,,0.4236206874949078,1.0307640496770794,21.34710643223454
2023-05-02 00:00:00-04:00,111.1165542602539,111.1165542602539,111.1165542602539,111.1165542602539,0,FBGRX,Fidelity Blue Chip Growth (Blue Chip Focus),Large Growth,Active,110.26394386291504,107.47240753173828,,-0.7030698233925881,1.0437411022839913,20.49395154534941
2023-05-03 00:00:00-04:00,110.7438735961914,110.7438735961914,110.7438735961914,110.7438735961914,0,FBGRX,Fidelity Blue Chip Growth (Blue Chip Focus),Large Growth,Active,110.25980224609376,107.61303192138672,,-0.33539616715401177,1.0408763318107779,20.089819450213888
2023-05-04 00:00:00-04:00,110.08132934570312,110.08132934570312,110.08132934570312,110.08132934570312,0,FBGRX,Fidelity Blue Chip Growth (Blue Chip Focus),Large Growth,Active,110.29582824707032,107.7362646484375,,-0.598267180814116,1.0043375260839429,19.371361472944336
2023-05-05 00:00:00-04:00,112.43335723876953,112.43335723876953,112.43335723876953,112.43335723876953,0,FBGRX,Fidelity Blue Chip Growth (Blue Chip Focus),Large Growth,Active,110.42129745483399,107.87871109008789,,2.1366274435876464,1.1052901487070887,21.921882741959497
2023-05-08 00:00:00-04:00,113.071044921875,113.071044921875,113.071044921875,113.071044921875,0,FBGRX,Fidelity Blue Chip Growth (Blue Chip Focus),Large Growth,Active,110.56457214355468,108.07134490966797,,0.5671694760045698,1.1095055657881798,22.613386445441954
2023-05-09 00:00:00-04:00,112.40023040771484,112.40023040771484,112.40023040771484,112.40023040771484,0,FBGRX,Fidelity Blue Chip Growth (Blue Chip Focus),Large Growth,Active,110.69625282287598,108.23847106933594,,-0.5932681657126682,1.115272887975305,21.885960256758906
2023-05-10 00:00:00-04:00,113.60108184814453,113.60108184814453,113.60108184814453,113.60108184814453,0,FBGRX,Fidelity Blue Chip Growth (Blue Chip Focus),Large Growth,Active,110.94097900390625,108.42911727905273,,1.0683709775983319,1.1033011453239057,23.188154481909162
2023-05-11 00:00:00-04:00,113.71702575683594,113.71702575683594,113.71702575683594,113.71702575683594,0,FBGRX,Fidelity Blue Chip Growth (Blue Chip Focus),Large Growth,Active,111.08591003417969,108.63632720947265,,0.10206232793310566,1.026693024159842,23.313883180111226
2023-05-12 00:00:00-04:00,113.15387725830078,113.15387725830078,113.15387725830078,113.15387725830078,0,FBGRX,Fidelity Blue Chip Growth (Blue Chip Focus),Large Growth,Active,111.20889472961426,108.81256362915039,,-0.49521915894930046,1.0350699745762146,22.703209204958963
2023-05-15 00:00:00-04:00,113.96549224853516,113.96549224853516,113.96549224853516,113.96549224853516,0,FBGRX,Fidelity Blue Chip Growth (Blue Chip Focus),Large Growth,Active,111.36210823059082,108.96478286743164,,0.7172666194916744,1.0437654059319537,23.58331836563117
2023-05-16 00:00:00-04:00,113.5431137084961,113.5431137084961,113.5431137084961,113.5431137084961,0,FBGRX,Fidelity Blue Chip Growth (Blue Chip Focus),Large Growth,Active,111.4734977722168,109.11749877929688,,-0.37061967768098336,1.048315613384583,23.125294269437013
2023-05-17 00:00:00-04:00,115.46448516845703,115.46448516845703,115.46448516845703,115.46448516845703,0,FBGRX,Fidelity Blue Chip Growth (Blue Chip Focus),Large Growth,Active,111.68675308227539,109.32918106079102,,1.6921954993182275,1.1049369610552846,25.208814957586732
